Name,Computation Time,Period,Deadline,Jitter
Task1,4.8,65,55.2,0.0
Task2,3.1,88,78.1,0.0
Task3,10.2,150,120.5,0.0
Task4,5.5,95,85.3,0.0
Task5,8.1,120,110.8,0.0
Task6,2.4,50,45.1,0.0
Task7,12.5,200,180.9,0.0
Task8,7.3,110,99.4,0.0
Task9,6.9,130,115.6,0.0
Task10,9.2,180,160.7,0.0
Task11,3.8,75,65.4,0.0
Task12,11.1,190,170.2,0.0
Task13,4.5,80,70.3,0.0
Task14,1.9,40,35.5,0.0
Task15,14.0,250,220.0,0.0
Task16,6.2,100,90.1,0.0
Task17,8.8,160,140.8,0.0
Task18,5.1,90,80.9,0.0
Task19,10.5,170,150.4,0.0
Task20,2.8,60,50.7,0.0
Task21,7.7,140,125.3,0.0
Task22,13.2,220,200.6,0.0
Task23,3.5,70,60.2,0.0
Task24,9.9,175,155.1,0.0
Task25,6.5,115,105.5,0.0
